date,dollar_exchange_rate,day_name,month_name,day,month,year,daily_change,monthly_change,yearly_change
2019-06-17,35.32,Monday,June,17.0,6.0,2019.0,0.11337868480725381,0.2839295854628093,11.772151898734172
2019-06-18,35.32,Tuesday,June,18.0,6.0,2019.0,0.0,0.2839295854628093,11.244094488188978
2019-06-20,35.34,Thursday,June,20.0,6.0,2019.0,0.05662514156286276,0.19846895378508728,11.83544303797469
2019-06-21,35.24,Friday,June,21.0,6.0,2019.0,-0.2829654782116622,-0.08505812305075457,11.027095148078146
2019-06-24,35.17,Monday,June,24.0,6.0,2019.0,-0.19863791146424595,-0.056834327934060874,11.4385297845374
2019-06-25,35.16,Tuesday,June,25.0,6.0,2019.0,-0.028433323855573258,-0.08525149190111152,11.79650238473767
2019-06-26,35.16,Wednesday,June,26.0,6.0,2019.0,0.0,0.028449502133707002,12.045889101338425
2019-06-27,35.23,Thursday,June,27.0,6.0,2019.0,0.19908987485779375,0.3703703703703574,12.735999999999988
2019-06-28,35.23,Friday,June,28.0,6.0,2019.0,0.0,0.22759601706969645,12.376395534290257
2019-07-01,35.18,Monday,July,1.0,7.0,2019.0,-0.14192449616803055,-0.0568181818181907,12.3961661341853
2019-07-02,35.1,Tuesday,July,2.0,7.0,2019.0,-0.22740193291642496,-0.2840909090909131,11.46395681168626
2019-07-03,35.2,Wednesday,July,3.0,7.0,2019.0,0.28490028490028896,-0.1418439716311976,11.392405063291143
2019-07-04,35.18,Thursday,July,4.0,7.0,2019.0,-0.0568181818181907,0.02843332385555306,11.860095389507155
2019-07-05,35.13,Friday,July,5.0,7.0,2019.0,-0.14212620807276052,0.22824536376606394,11.878980891719758
2019-07-08,35.21,Monday,July,8.0,7.0,2019.0,0.22772559066324588,-0.25495750708214254,12.062380649267979
2019-07-09,35.17,Tuesday,July,9.0,7.0,2019.0,-0.11360408974722846,-0.3682719546742081,11.757229107086124
2019-07-10,35.19,Wednesday,July,10.0,7.0,2019.0,0.05686664771110612,-0.6493506493506606,12.141491395793496
2019-07-11,35.1,Thursday,July,11.0,7.0,2019.0,-0.25575447570331433,-0.8754589099124405,12.21227621483376
2019-07-12,35.14,Friday,July,12.0,7.0,2019.0,0.11396011396011152,-0.6221719457013543,12.017851450430346
2019-07-15,35.1,Monday,July,15.0,7.0,2019.0,-0.11383039271485244,-0.5102040816326523,11.961722488038278
2019-07-16,35.12,Tuesday,July,16.0,7.0,2019.0,0.05698005698004564,-0.45351473922903535,12.097031599106286
2019-07-17,35.16,Wednesday,July,17.0,7.0,2019.0,0.11389521640090874,-0.4530011325028417,12.51199999999999
2019-07-19,35.1,Friday,July,19.0,7.0,2019.0,-0.1706484641638088,-0.6228765571913897,12.644415917843393
2019-07-22,35.0,Monday,July,22.0,7.0,2019.0,-0.28490028490028896,-0.6810442678774177,12.179487179487182
2019-07-23,34.78,Tuesday,July,23.0,7.0,2019.0,-0.6285714285714253,-1.305334846765042,12.085078955849179
2019-07-24,34.15,Wednesday,July,24.0,7.0,2019.0,-1.8113858539390528,-2.900199033266998,9.983896940418672
2019-07-25,33.85,Thursday,July,25.0,7.0,2019.0,-0.87847730600292,-3.725824800910112,9.546925566343052
2019-07-26,34.35,Friday,July,26.0,7.0,2019.0,1.4771048744460855,-2.3037542662115906,11.780019524894243
2019-07-29,34.17,Monday,July,29.0,7.0,2019.0,-0.5240174672489074,-3.0087993187624047,11.19427269768956
2019-07-30,34.2,Tuesday,July,30.0,7.0,2019.0,0.08779631255487601,-2.9236446210615785,11.473272490221653
2019-07-31,34.3,Wednesday,July,31.0,7.0,2019.0,0.29239766081869684,-2.501421262080735,12.27495908346971
2019-08-01,34.4,Thursday,August,1.0,8.0,2019.0,0.29154518950437736,-1.9943019943020022,12.602291325695575
2019-08-02,34.6,Friday,August,2.0,8.0,2019.0,0.5813953488372177,-1.7045454545454586,13.256955810147304
2019-08-05,34.7,Monday,August,5.0,8.0,2019.0,0.28901734104046656,-1.224025049814972,12.845528455284564
2019-08-06,35.2,Tuesday,August,6.0,8.0,2019.0,1.440922190201729,0.19925989183034523,16.36363636363637
2019-08-07,35.2,Wednesday,August,7.0,8.0,2019.0,0.0,-0.028401022436802075,16.36363636363637
2019-08-08,35.3,Thursday,August,8.0,8.0,2019.0,0.2840909090908929,0.36963321012225037,17.275747508305635
2019-08-09,35.28,Friday,August,9.0,8.0,2019.0,-0.056657223796022727,0.2557544757033345,16.62809917355372
